Date,Open,High,Low,Close,Adj Close,Volume
5/15/2018,113.910004,113.910004,112.57,113.029999,106.460472,11536200
5/16/2018,112.889999,113.690002,112.629997,113.339996,106.752449,7571100
5/17/2018,113.199997,113.410004,112.199997,112.959999,106.394554,8617200
5/18/2018,112.75,112.800003,110.839996,111.129997,104.670914,11806300
5/21/2018,112.050003,112.540001,111.919998,112.150002,105.631622,9441900
5/22/2018,112.349998,114.290001,112.290001,113.010002,106.441643,11507600
5/23/2018,112.510002,112.769997,111.120003,112.489998,105.951859,11453900
5/24/2018,112.139999,112.150002,110.120003,111.230003,104.765106,14084800
5/25/2018,110.459999,111.080002,110.199997,110.660004,104.228233,8283500
5/29/2018,109.18,109.199997,104.959999,105.93,99.77314,30643800
5/30/2018,107.639999,108.599998,106.650002,108.349998,102.05249,17490800
5/31/2018,107.949997,108.190002,106.419998,107.010002,100.790375,19808200
6/1/2018,108.339996,108.940002,107.800003,108.400002,102.099586,13594200
6/4/2018,108.989998,109.260002,108.269997,108.449997,102.146667,9415400
6/5/2018,108.239998,108.309998,107.07,107.839996,101.572128,10415200
6/6/2018,108.660004,110.739998,108.480003,110.360001,103.945671,15453600
6/7/2018,111.18,111.5,110.029999,110.800003,104.360092,13444400
6/8/2018,110.620003,111.139999,110.059998,111.110001,104.652084,10383200
6/11/2018,111.120003,111.910004,110.769997,110.830002,104.388351,12642900
6/12/2018,111.139999,111.529999,109.519997,110.190002,103.785561,15294100
6/13/2018,110.459999,111.449997,109.580002,109.970001,103.578339,14979700
6/14/2018,110.279999,110.360001,107.779999,108.029999,101.751083,20487300
6/15/2018,107.800003,108.379997,106.269997,107.900002,101.628647,26028600
6/18/2018,107.260002,108.400002,106.690002,108.18,101.892372,9786800
6/19/2018,106.900002,107.879997,106.599998,107.550003,101.298988,12707200
6/20/2018,108.18,108.639999,107.440002,107.540001,101.289558,8876900
6/21/2018,107.099998,108.209999,106.529999,107.510002,101.261314,11048700
6/22/2018,108.160004,108.370003,105.510002,105.75,99.603607,19478900
6/25/2018,105.660004,105.699997,103.959999,104.790001,98.699402,16907600
6/26/2018,104.709999,105.209999,103.110001,104.860001,98.765335,17086800
6/27/2018,104.68,105.919998,103.230003,103.239998,97.239494,16276800
6/28/2018,103.68,105.459999,103.510002,104.93,98.831268,14491300
6/29/2018,106.68,106.900002,104.150002,104.199997,98.143684,18972400
7/2/2018,103.720001,105.089996,103.379997,105.080002,98.972542,11130000
7/3/2018,105.410004,105.779999,103.519997,103.610001,97.587982,8311700
7/5/2018,104.129997,104.379997,103.529999,103.720001,98.222473,10723400
7/6/2018,103.120003,104.5,102.199997,104.059998,98.544456,12173700
7/9/2018,104.709999,107.459999,104.709999,107.279999,101.593781,13900800
7/10/2018,108.019997,108.400002,106.529999,106.620003,100.968765,14575900
7/11/2018,106.309998,107.059998,106.209999,106.389999,100.750961,10186500
7/12/2018,107.419998,107.559998,105.970001,106.849998,101.186562,12456800
7/13/2018,107.300003,107.800003,105.139999,106.360001,100.722549,21289100
7/16/2018,107.050003,110.769997,106.980003,110.580002,104.71888,24662600
7/17/2018,110.690002,110.93,109.75,110.5,104.64312,14821900
7/18/2018,110.419998,112.120003,110.199997,111.529999,105.618515,14244900
7/19/2018,111.059998,111.089996,109.730003,109.889999,104.065453,16775300
7/20/2018,110,111.739998,109.779999,111.279999,105.38176,13578100
7/23/2018,111.059998,114.239998,110.93,113.349998,107.342056,18140000
7/24/2018,113.550003,114.779999,113.419998,114.150002,108.099648,14000400
7/25/2018,113.879997,115.519997,113.379997,115.18,109.075066,13329100
7/26/2018,115.419998,115.589996,114.580002,114.849998,108.76255,11897800
7/27/2018,115.18,116.300003,114.809998,116.029999,109.880005,12802700
7/30/2018,116.279999,117.610001,116.059998,116.730003,110.5429,13411600
7/31/2018,117.080002,117.080002,114.82,114.949997,108.857239,15843800
